Player,Position,salary_usd
Kris Bubic,lhp-s,"$3,000,000"
Brandon Marsh,cf,"$3,000,000"
Randy Dobnak,rhp,"$3,000,000"
Joe Ryan,rhp-s,"$3,000,000"
Joel Payamps,rhp,"$2,995,000"
Ryan Thompson,rhp,"$2,965,000"
A.J. Puk,lhp-s,"$2,950,000"
Dean Kremer,rhp-s,"$2,950,000"
Lars Nootbaar,lf,"$2,950,000"
MacKenzie Gore,lhp-s,"$2,890,000"
Brendan Donovan,2b,"$2,850,000"
Hyeseong Kim,2b,"$2,833,333"
Brusdar Graterol,rhp-c,"$2,800,000"
Caleb Thielbar,lhp,"$2,750,000"
Derek Law,rhp,"$2,750,000"
Kutter Crawford,rhp-s,"$2,750,000"
Seth Brown,1b-of,"$2,700,000"
Andrés Muñoz,rhp,"$2,687,500"
Lawrence Butler,rf,"$2,678,571"
Cal Raleigh,c,"$2,666,667"
Brayan Bello,rhp-s,"$2,666,667"
MJ Melendez,rf-lf,"$2,650,000"
Jake Rogers,c,"$2,640,000"
Trevor Rogers,lhp-s,"$2,600,000"
Geraldo Perdomo,ss,"$2,550,000"
Kyle Hendricks,rhp-s,"$2,500,000"
Luke Weaver,rhp,"$2,500,000"
Nick Pivetta,rhp-s,"$2,500,000"
Kyle Farmer,2b,"$2,500,000"
Tim Hill,lhp,"$2,500,000"
Kevin Newman,ss,"$2,500,000"
Hoby Milner,lhp,"$2,500,000"
Kevin Ginkel,rhp,"$2,425,000"
Santiago Espinal,2b,"$2,400,000"
Jose Siri,cf,"$2,400,000"
Griffin Jax,rhp,"$2,365,000"
Kyle Bradish,rhp-s,"$2,350,000"
Casey Mize,rhp-s,"$2,340,000"
John Schreiber,rhp,"$2,300,000"
Trevor Stephan,rhp,"$2,300,000"
Jake Meyers,lf,"$2,300,000"
Jarred Kelenic,lf,"$2,300,000"
Ryan Feltner,rhp-s,"$2,275,000"
JoJo Romero,lhp,"$2,260,000"
Justin Wilson,lhp,"$2,250,000"
Brent Suter,lhp,"$2,250,000"
John Brebbia,rhp,"$2,250,000"
Drew Rasmussen,rhp-s,"$2,250,000"
Alex Vesia,lhp,"$2,250,000"
Ben Lively,rhp-s,"$2,250,000"
Bailey Falter,lhp-s,"$2,222,000"
Cionel Pérez,lhp,"$2,200,000"
Alek Manoah,rhp-s,"$2,200,000"
Gio Urshela,3b,"$2,150,000"
Dustin May,rhp-s,"$2,135,000"
Rob Refsnyder,2b-of,"$2,100,000"
Jo Adell,of,"$2,100,000"
Trevor Larnach,lf,"$2,100,000"
Andre Pallante,rhp,"$2,100,000"
Tyler Wells,rhp-s,"$2,075,000"
Mark Leiter Jr.,rhp,"$2,050,000"
José Quintana,lhp-s,"$2,000,000"
